Cycle_Index,Test_Time(s),Date_Time,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Internal_Resistance(Ohm),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Charge_Time(s),DisCharge_Time(s),Vmax_On_Cycle(V)
1,11145.13385541442,2010-12-13 15:42:09,0.0010644125286489725,3.43215274810791,0.899197627291431,0.895169431355023,3.626731173264358,3.230621499461153,0.09545765817165375,0,0,7853.539806445042,2931.533255084529,4.200300693511963
2,22156.891162288983,2010-12-13 18:45:42,0.0010644125286489725,3.445913076400757,1.796503509150384,1.786116358155228,7.234837828643505,6.4432816032175,0.09490565955638885,0,0,7733.964175311194,2917.720382351222,4.200300693511963
3,33135.88490550393,2010-12-13 21:48:43,0.0008838032954372466,3.4339334964752197,2.686819221349268,2.678425619072593,10.816383033679296,9.664195619287508,0.09563027322292328,0,0,7697.05836934341,2921.8616475815725,4.200300693511963
4,44089.058890710694,2010-12-14 00:51:17,0.0008838032954372466,3.421306610107422,3.582995911272102,3.576885244679266,14.416440088830726,12.916592922011308,0.09400942176580429,0,0,7651.113131489389,2941.9896905367605,4.200138568878174
5,55043.60336307795,2010-12-14 03:53:53,0.0008838032954372466,3.4185545444488525,4.482077264401194,4.476049592348348,18.025776015088287,16.173177600556173,0.09626661986112595,0,0,7650.2441363185235,2944.2252147480813,4.200138568878174
6,65994.5004236578,2010-12-14 06:56:25,0.0007031940040178597,3.4425134658813477,5.379273682408936,5.366411012562901,21.626590266313023,19.387751357303145,0.09626661986112595,0,0,7675.192945080608,2915.627600360092,4.200300693511963
7,76939.5302345663,2010-12-14 09:58:51,0.0008838032954372466,3.445427417755127,6.269068936804318,6.254518514693202,25.204118635332357,22.593422972219063,0.09644070267677307,0,0,7676.699965989084,2908.2682626958904,4.200300693511963
8,87862.12394178554,2010-12-14 13:00:55,0.0008838032954372466,3.445913076400757,7.157551408257847,7.141955385213899,28.7762265311012,25.796586893864443,0.09725112468004227,0,0,7656.638057319786,2905.8929754657065,4.200300693511963
9,98783.28991437053,2010-12-14 16:02:58,0.0010644125286489725,3.441542148590088,8.045599357666916,8.030403552892896,32.3460992786886,29.005979919029116,0.09770817309617996,0,0,7651.951549717125,2909.1433806954883,4.200138568878174
10,109702.6415613852,2010-12-14 19:04:58,0.0007031940040178597,3.4421896934509277,8.934019695849985,8.918034755036212,35.91665766165604,32.21239294519233,0.09698805212974548,0,0,7652.780451351176,2906.4866703622884,4.200138568878174
11,120653.6965344524,2010-12-14 22:07:31,0.0008838032954372466,3.4266488552093506,9.821783127318112,9.80938502849076,39.48466328965648,35.43717726008695,0.09409449994564056,0,0,7672.279718909984,2918.693366698283,4.200300693511963
12,131571.04109892168,2010-12-15 01:09:29,0.0007031940040178597,3.420982837677002,10.714619904877798,10.703399482158908,43.06932594385691,38.67511656438963,0.09481984376907349,0,0,7629.9484685913485,2927.334825519803,4.200138568878174
13,142492.79135379824,2010-12-15 04:11:32,0.0008838032954372466,3.420335292816162,11.608916955731566,11.597695794310637,46.65889742937851,41.9149546533347,0.09554389119148254,0,0,7633.401768707992,2928.272672088526,4.200138568878174
14,153434.63986316207,2010-12-15 07:13:56,0.0007031940040178597,3.448827028274536,12.501267307577454,12.482199686926473,50.24088708934612,45.10911999112739,0.09580351412296295,0,0,7685.364621148902,2896.409626547464,4.200138568878174
15,164323.44380322355,2010-12-15 10:15:26,0.0008838032954372466,3.4546549320220947,13.385548637297664,13.363821227695723,53.79578053417587,48.2909032857064,0.09788454324007034,0,0,7642.140361279826,2886.565835105348,4.200138568878174
16,175204.94054200046,2010-12-15 13:16:48,0.0007031940040178597,3.4480175971984863,14.267615189580894,14.246750137474027,57.34225397248222,51.47985320076296,0.09617981314659119,0,0,7630.172237542893,2891.2383513429404,4.200300693511963
17,186080.7809259396,2010-12-15 16:18:06,0.0008838032954372466,3.4478557109832764,15.150980827299252,15.129267331434765,60.89277763441783,54.66859861103179,0.09707558155059814,0,0,7625.908612299245,2889.84813754866,4.200300693511963
18,196962.10207373687,2010-12-15 19:19:28,0.0005225847125984728,3.450284004211426,16.033317459149693,16.010307783624565,64.43975095513916,57.850510265722086,0.09563027322292328,0,0,7636.253094785957,2885.004964863002,4.200138568878174
19,207862.72279480135,2010-12-15 22:21:10,0.0007031940040178597,3.43296217918396,16.914958558268694,16.89599414134232,67.98384518659302,61.05525264850967,0.09473419934511185,0,0,7640.411166693549,2900.116185544912,4.200138568878174
20,218730.7655293365,2010-12-16 01:22:19,0.0003419754502829164,3.4303722381591797,17.801475706662245,17.782845884253113,71.54384286333718,64.26600762581064,0.09473419934511185,0,0,7604.2775178278,2903.695092393089,4.200138568878174
21,229598.15376162305,2010-12-16 04:23:28,0.0010644125286489725,3.42923903465271,18.68856371966208,18.66984035076579,75.10562328090283,67.47791337190259,0.09473419934511185,0,0,7602.997816274023,2904.307625823395,4.200138568878174
22,240486.40723379995,2010-12-16 07:24:58,0.0005225847125984728,3.4588639736175537,19.573274479647125,19.546135684516596,78.6586794257801,70.63964841130782,0.09563027322292328,0,0,7658.788778600955,2869.3643712673934,4.200138568878174
23,251332.73522606696,2010-12-16 10:25:45,0.0007031940040178597,3.4633967876434326,20.44905049659647,20.419573418739553,82.18136328345443,73.78890768575341,0.09580351412296295,0,0,7626.030620081262,2860.1910468846,4.200300693511963
24,262149.30328406254,2010-12-16 13:26:03,0.0008838032954372466,3.461454153060913,21.322781622691323,21.293080238954968,85.69566361057521,76.94007415688242,0.09707558155059814,0,0,7596.093558951563,2860.395412236242,4.200138568878174
25,272968.3430638144,2010-12-16 16:26:23,0.0008838032954372466,3.465177536010742,22.196393770390415,22.16480826592502,89.20972456843896,80.08391751178256,0.09779628366231918,0,0,7604.375976488119,2854.5666811743454,4.200300693511963
26,283779.27930345736,2010-12-16 19:26:36,0.0007031940040178597,3.4679296016693115,23.068097569396503,23.03487484276117,92.71664170045948,83.22077577294533,0.09644070267677307,0,0,7601.7633993026,2849.114329923116,4.200300693511963
27,294622.47813777905,2010-12-16 22:27:20,0.0008838032954372466,3.436038017272949,23.939989605832036,23.915210197184535,96.22438757869637,86.40635370129345,0.09617981314659119,0,0,7600.550470572159,2882.5548607577675,4.200300693511963
28,305441.004630616,2010-12-17 01:27:40,0.0005225847125984728,3.4308578968048096,24.821547752716008,24.798046616506404,99.76450197231671,89.60410790444867,0.09545765817165375,0,0,7567.699664922721,2890.7262424030737,4.200300693511963
29,316261.4475973883,2010-12-17 04:28:02,0.0008838032954372466,3.42923903465271,25.704948034631563,25.681730713629214,103.31092658793776,92.80599054969382,0.09456335008144379,0,0,7566.936754564373,2893.4314636399467,4.200138568878174
30,323848.5896199171,2010-12-17 06:34:30,0.0007031940040178597,3.452874183654785,26.438864782894495,26.419363204471804,106.23053589483494,95.44446557121071,0.09716327488422394,0,0,4811.705329335691,2415.3749917523264,4.200138568878174
31,334764.4767761093,2010-12-17 09:36:27,0.0008838032954372466,3.4596734046936035,27.3229188331446,27.29096299259875,109.78383971329522,98.59183508358419,0.09788454324007034,0,0,7701.926129775369,2853.8656100963717,4.200138568878174
32,345567.247975215,2010-12-17 12:36:31,0.0003419754502829164,3.454331159591675,28.196192167310443,28.16427641585475,113.29481226703923,101.7475591770578,0.09563027322292328,0,0,7583.103578028659,2859.6319762919115,4.200138568878174
33,356339.0883744867,2010-12-17 15:36:04,0.0008838032954372466,3.449798345565796,29.07052111465056,29.0390539458586,116.80834539620496,104.91077614137514,0.09473419934511185,0,0,7547.33915004885,2864.398392090723,4.200138568878174
34,367108.43524196313,2010-12-17 18:35:35,0.0005225847125984728,3.449960231781006,29.945733757553832,29.91351944511674,120.3248619148466,108.07304711056112,0.09400942176580429,0,0,7545.902340665683,2863.3978459680648,4.200138568878174
35,377890.7238005611,2010-12-17 21:35:19,0.0008838032954372466,3.43263840675354,30.82041369258681,30.792741004618108,123.83942994175082,111.25641434473528,0.09311480820178986,0,0,7543.386051693821,2878.850343680174,4.200138568878174
36,388662.73303455405,2010-12-18 00:34:52,0.0007031940040178597,3.424058675765991,31.701475421709148,31.676046693151623,127.37536207901532,114.4602316956237,0.09311480820178986,0,0,7519.769378309303,2892.11996923695,4.200138568878174
37,399439.95954831445,2010-12-18 03:34:30,0.0005225847125984728,3.420982837677002,32.58537835499294,32.56052753484062,130.92127537539682,117.6697439685512,0.09303076565265656,0,0,7521.429734340336,2895.729675014007,4.200138568878174
38,410215.61404405395,2010-12-18 06:34:07,0.0008838032954372466,3.420335292816162,33.47020149854411,33.44542500197347,134.47026127389745,120.88133642933384,0.0923885703086853,0,0,7518.304610016221,2897.292408519763,4.200138568878174
39,420976.27827233216,2010-12-18 09:33:29,0.0008838032954372466,3.420011520385742,34.355232687674864,34.33033591760085,138.01970678895404,124.09334618667602,0.09392450004816055,0,0,7503.459901514635,2897.0898484463833,4.200300693511963
40,431743.4881967613,2010-12-18 12:32:58,0.0007031940040178597,3.4192020893096924,35.240563221725786,35.215496100512595,141.57014653604324,127.30656559704497,0.09392450004816055,0,0,7509.41517719996,2897.699459420517,4.200138568878174
41,442506.14195574226,2010-12-18 15:32:22,0.0008838032954372466,3.4182307720184326,36.12603102739382,36.10074011938965,145.12087671771047,130.52064960011273,0.09537158161401749,0,0,7504.184264108294,2898.3873055403183,4.200138568878174
42,453261.6237217406,2010-12-18 18:31:38,0.0008838032954372466,3.4183926582336426,37.01148749501392,36.98573677738036,148.67118319842578,133.7340144782445,0.09311480820178986,0,0,7497.792321818938,2897.5758972154317,4.200138568878174
43,464009.0207745683,2010-12-18 21:30:47,0.0007031940040178597,3.4180688858032227,37.896743649885295,37.87057795117142,152.22057825329145,136.9470970618238,0.0923885703086853,0,0,7490.322512163091,2897.0313425151826,4.200138568878174
44,474739.3815299364,2010-12-19 00:29:39,0.0007031940040178597,3.4177451133728027,38.781667813473014,38.75527468329904,155.76843185037288,140.1599349362472,0.09464868903160095,0,0,7473.700684809152,2896.545086319419,4.200138568878174
45,485477.4318428525,2010-12-19 03:28:38,0.0008838032954372466,3.4177451133728027,39.66672163249714,39.63982488113645,159.3166520655992,143.372386178612,0.09392450004816055,0,0,7482.154283994573,2895.8574318436586,4.200138568878174
46,496213.05289619905,2010-12-19 06:27:35,0.0010644125286489725,3.4179069995880127,40.55153762763472,40.52407422067665,162.86386249015484,146.58396193793126,0.0931989923119545,0,0,7480.5140865558,2895.0765254613507,4.200138568878174
47,506935.9539250134,2010-12-19 09:26:19,0.0007031940040178597,3.4177451133728027,41.43597406741266,41.407912421239075,166.40942599461218,149.7940903689166,0.09464868903160095,0,0,7469.09331786675,2893.7019500502092,4.200138568878174
48,517656.24238079385,2010-12-19 12:25:01,0.0008838032954372466,3.4182307720184326,42.32003287257304,42.29126032879773,169.95347826167765,153.00227608218373,0.09392450004816055,0,0,7468.124225856345,2892.109302832092,4.200138568878174
49,525399.4568867779,2010-12-19 14:34:05,0.0005225847125984728,3.4064130783081055,43.0678998360638,43.04882687857588,172.9256511877204,155.72772678681838,0.09473419934511185,0,0,4902.794356486976,2480.3494044746953,4.200138568878174
50,536231.7690229667,2010-12-19 17:34:39,0.0008838032954372466,3.416773796081543,43.96028204289017,43.93139334396903,176.50295160745827,158.9337477044211,0.09473419934511185,0,0,7582.670484126769,2889.5594526668538,4.200138568878174
