Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.000509866513465,2011-01-03 10:38:25,30.0005104579876,1,1,0.0,4.138783931732178,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,60.01584111747741,2011-01-03 10:38:55,60.01584169391407,1,1,0.0,4.138946056365967,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0,0,0
3,90.03096776350289,2011-01-03 10:39:25,90.03096832991456,1,1,0.0,4.138622283935547,0.0,0.0,0.0,0.0,-6.47544875391759e-05,0.0,0,0,0
4,120.01438059895432,2011-01-03 10:39:55,120.01438116035348,1,1,0.0,4.138946056365967,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0,0,0
5,120.1217220742884,2011-01-03 10:39:55,0.106845346478917,2,1,0.5501165986061096,4.200300693511963,1.6327055231e-05,0.0,6.8561813844e-05,0.0,0.0005504608270712197,0.0,0,0,0
6,150.12218776950508,2011-01-03 10:40:26,30.000160916823468,3,1,0.0,4.138946056365967,1.6327055231e-05,0.0,6.8561813844e-05,0.0,0.0,0.0,0,0,0
7,180.13757694984687,2011-01-03 10:40:56,60.01555008212777,3,1,0.0,4.138946056365967,1.6327055231e-05,0.0,6.8561813844e-05,0.0,0.0,0.0,0,0,0
8,210.15269122002792,2011-01-03 10:41:26,90.03066434228384,3,1,0.0,4.138783931732178,1.6327055231e-05,0.0,6.8561813844e-05,0.0,0.0,0.0,0,0,0
9,240.13657915457247,2011-01-03 10:41:56,120.01455229687838,3,1,0.0,4.138946056365967,1.6327055231e-05,0.0,6.8561813844e-05,0.0,0.0,0.0,0,0,0
10,240.13703643966988,2011-01-03 10:41:56,2.536321293e-06,4,1,0.5521033406257629,4.199653148651123,1.6327444206e-05,0.0,6.8563447406e-05,0.0,0.0,0.0,0,0,0
11,242.82448711365737,2011-01-03 10:41:58,2.687453250408711,4,1,0.501893937587738,4.199491024017334,0.000404461971864,0.0,0.001698558189723,0.0,-3.24249267578125e-05,0.0,0,0,0
12,249.1525601688102,2011-01-03 10:42:05,9.015526305561554,4,1,0.45186516642570496,4.199491024017334,0.00123921332304,0.0,0.005204122234143,0.0,-3.24249267578125e-05,0.0,0,0,0
13,259.4652213385717,2011-01-03 10:42:15,19.328187650760356,4,1,0.4018363952636719,4.199491024017334,0.002456864803962,0.0,0.010317702766615,0.0,0.0,0.0,0,0,0
14,275.85532002761215,2011-01-03 10:42:31,35.71828613930102,4,1,0.3518076241016388,4.199653148651123,0.004163228573925,0.0,0.017483739878123,0.0,-3.23295607813634e-05,0.0,0,0,0
